episode,reward,length,loss,timestep
1,295.0,296,0.0,296
2,172.0,173,0.0,469
3,173.0,174,0.0,643
4,85.0,86,0.0,729
5,127.0,128,0.0,857
6,122.0,123,0.0,980
7,145.0,146,0.0,1126
8,175.0,176,0.0,1302
9,85.0,86,0.0,1388
10,122.0,123,0.0,1511
11,54.0,55,0.0,1566
12,174.0,175,0.0,1741
13,145.0,146,0.0,1887
14,124.0,125,0.0,2012
15,169.0,170,9.808794021606445,2182
16,176.0,177,9.808794021606445,2359
17,85.0,86,9.808794021606445,2445
18,294.0,295,9.808794021606445,2740
19,171.0,172,9.808794021606445,2912
20,56.0,57,9.808794021606445,2969
21,85.0,86,9.808794021606445,3055
22,170.0,171,9.808794021606445,3226
23,56.0,57,9.808794021606445,3283
24,52.0,53,9.808794021606445,3336
25,85.0,86,9.808794021606445,3422
26,175.0,176,9.808794021606445,3598
27,54.0,55,9.808794021606445,3653
28,168.0,169,9.808794021606445,3822
29,123.0,124,9.808794021606445,3946
30,83.0,84,9.808794021606445,4030
31,174.0,175,33.48581314086914,4205
32,305.0,306,33.48581314086914,4511
33,55.0,56,33.48581314086914,4567
34,54.0,55,33.48581314086914,4622
35,55.0,56,33.48581314086914,4678
36,55.0,56,33.48581314086914,4734
37,122.0,123,33.48581314086914,4857
38,170.0,171,33.48581314086914,5028
39,145.0,146,33.48581314086914,5174
40,54.0,55,33.48581314086914,5229
41,301.0,302,33.48581314086914,5531
42,170.0,171,33.48581314086914,5702
43,169.0,170,33.48581314086914,5872
44,125.0,126,33.48581314086914,5998
45,177.0,178,29.862943649291992,6176
46,124.0,125,29.862943649291992,6301
47,55.0,56,29.862943649291992,6357
48,169.0,170,29.862943649291992,6527
49,145.0,146,29.862943649291992,6673
50,85.0,86,29.862943649291992,6759
51,172.0,173,29.862943649291992,6932
52,166.0,167,29.862943649291992,7099
53,170.0,171,29.862943649291992,7270
54,264.0,265,29.862943649291992,7535
55,150.0,151,29.862943649291992,7686
56,78.0,79,29.862943649291992,7765
57,64.0,65,29.862943649291992,7830
58,171.0,172,29.862943649291992,8002
59,82.0,83,29.862943649291992,8085
60,177.0,178,36.15057373046875,8263
61,297.0,298,36.15057373046875,8561
62,145.0,146,36.15057373046875,8707
63,83.0,84,36.15057373046875,8791
64,171.0,172,36.15057373046875,8963
65,85.0,86,36.15057373046875,9049
66,86.0,87,36.15057373046875,9136
67,86.0,87,36.15057373046875,9223
68,84.0,85,36.15057373046875,9308
69,265.0,266,36.15057373046875,9574
70,173.0,174,36.15057373046875,9748
71,122.0,123,36.15057373046875,9871
72,145.0,146,36.15057373046875,10017
73,84.0,85,36.15057373046875,10102
74,298.0,299,29.36445426940918,10401
75,88.0,89,29.36445426940918,10490
76,175.0,176,29.36445426940918,10666
77,170.0,171,29.36445426940918,10837
78,125.0,126,29.36445426940918,10963
79,123.0,124,29.36445426940918,11087
80,85.0,86,29.36445426940918,11173
81,452.0,453,29.36445426940918,11626
82,55.0,56,29.36445426940918,11682
83,54.0,55,29.36445426940918,11737
84,170.0,171,29.36445426940918,11908
85,54.0,55,29.36445426940918,11963
86,85.0,86,29.36445426940918,12049
87,86.0,87,29.36445426940918,12136
88,171.0,172,31.505756378173828,12308
89,126.0,127,31.505756378173828,12435
90,85.0,86,31.505756378173828,12521
91,174.0,175,31.505756378173828,12696
92,165.0,166,31.505756378173828,12862
93,174.0,175,31.505756378173828,13037
94,176.0,177,31.505756378173828,13214
95,173.0,174,31.505756378173828,13388
96,171.0,172,31.505756378173828,13560
97,84.0,85,31.505756378173828,13645
98,297.0,298,31.505756378173828,13943
99,84.0,85,31.505756378173828,14028
100,86.0,87,31.505756378173828,14115
101,173.0,174,31.505756378173828,14289
102,83.0,84,52.85496139526367,14373
103,85.0,86,52.85496139526367,14459
104,86.0,87,52.85496139526367,14546
105,167.0,168,52.85496139526367,14714
106,173.0,174,52.85496139526367,14888
107,84.0,85,52.85496139526367,14973
108,145.0,146,52.85496139526367,15119
109,169.0,170,52.85496139526367,15289
110,55.0,56,52.85496139526367,15345
111,170.0,171,52.85496139526367,15516
112,169.0,170,52.85496139526367,15686
113,170.0,171,52.85496139526367,15857
114,84.0,85,52.85496139526367,15942
115,86.0,87,52.85496139526367,16029
116,85.0,86,52.85496139526367,16115
117,87.0,88,52.85496139526367,16203
118,84.0,85,52.85496139526367,16288
119,122.0,123,46.3553581237793,16411
120,85.0,86,46.3553581237793,16497
121,146.0,147,46.3553581237793,16644
122,53.0,54,46.3553581237793,16698
123,56.0,57,46.3553581237793,16755
124,54.0,55,46.3553581237793,16810
125,145.0,146,46.3553581237793,16956
126,298.0,299,46.3553581237793,17255
127,171.0,172,46.3553581237793,17427
128,55.0,56,46.3553581237793,17483
129,56.0,57,46.3553581237793,17540
130,87.0,88,46.3553581237793,17628
131,121.0,122,46.3553581237793,17750
132,169.0,170,46.3553581237793,17920
133,173.0,174,46.3553581237793,18094
134,176.0,177,46.3553581237793,18271
135,84.0,85,46.3553581237793,18356
136,173.0,174,37.66006851196289,18530
137,86.0,87,37.66006851196289,18617
138,83.0,84,37.66006851196289,18701
139,124.0,125,37.66006851196289,18826
140,125.0,126,37.66006851196289,18952
141,173.0,174,37.66006851196289,19126
142,168.0,169,37.66006851196289,19295
143,121.0,122,37.66006851196289,19417
144,167.0,168,37.66006851196289,19585
145,54.0,55,37.66006851196289,19640
146,125.0,126,37.66006851196289,19766
147,145.0,146,37.66006851196289,19912
148,55.0,56,37.66006851196289,19968
149,55.0,56,37.66006851196289,20024
150,173.0,174,37.66006851196289,20198
151,85.0,86,37.66006851196289,20284
152,173.0,174,37.66006851196289,20458
153,301.0,302,41.2039794921875,20760
154,54.0,55,41.2039794921875,20815
155,86.0,87,41.2039794921875,20902
156,170.0,171,41.2039794921875,21073
157,174.0,175,41.2039794921875,21248
158,56.0,57,41.2039794921875,21305
159,127.0,128,41.2039794921875,21433
160,123.0,124,41.2039794921875,21557
161,170.0,171,41.2039794921875,21728
162,169.0,170,41.2039794921875,21898
163,174.0,175,41.2039794921875,22073
164,123.0,124,41.2039794921875,22197
165,83.0,84,41.2039794921875,22281
166,145.0,146,41.2039794921875,22427
167,55.0,56,41.2039794921875,22483
168,87.0,88,32.374263763427734,22571
169,168.0,169,32.374263763427734,22740
170,124.0,125,32.374263763427734,22865
171,126.0,127,32.374263763427734,22992
172,301.0,302,32.374263763427734,23294
173,172.0,173,32.374263763427734,23467
174,52.0,53,32.374263763427734,23520
175,84.0,85,32.374263763427734,23605
176,172.0,173,32.374263763427734,23778
177,174.0,175,32.374263763427734,23953
178,79.0,80,32.374263763427734,24033
179,52.0,53,32.374263763427734,24086
180,127.0,128,32.374263763427734,24214
181,299.0,300,32.374263763427734,24514
182,172.0,173,19.531705856323242,24687
183,55.0,56,19.531705856323242,24743
184,56.0,57,19.531705856323242,24800
185,166.0,167,19.531705856323242,24967
186,173.0,174,19.531705856323242,25141
